text,clean_text,tokens,is_manglish_data,code_mixed,manglish_score,emotion_label,secondary_emotion,emotion_scores
"don't be ""you la pulak fikir, asyik i je fikir"". you are a man for a reason. fckin lead.",don't be you la pulak fikir asyik i je fikir you are a man for a reason fckin lead,don't be you la pulak fikir asyik i je fikir you are a man for a reason fckin lead,True,True,3,anger,,"{""anger"": 1}"
"If i get married in future, saya nak jadikan hari sabtu as picnic day.",if i get married in future saya nak jadikan hari sabtu as picnic day,if i get married in future saya nak jadikan hari sabtu as picnic day,True,True,2,love,,"{""love"": 1}"
"Okay jujur, siapa yang mula2 ajar combine Hada Labo botol biru + serum pink Eucerin ni??? I nak doakan traffic light dia sentiasa hijau SEBAB MENJADI YEEE TAK SAMPAI SEBULAN PAKAI PARUT JERAWAT DAH HILANG, JERAGAT PUN MAKIN PUDAR 😭😭",okay jujur siapa yang mula2 ajar combine hada labo botol biru serum pink eucerin ni i nak doakan traffic light dia sentiasa hijau sebab menjadi yee tak sampai sebulan pakai parut jerawat dah hilang jeragat pun makin pudar,okay jujur siapa yang mula2 ajar combine hada labo botol biru serum pink eucerin ni i nak doakan traffic light dia sentiasa hijau sebab menjadi yee tak sampai sebulan pakai parut jerawat dah hilang jeragat pun makin pudar,True,True,16,joy,sadness,"{""joy"": 2, ""sadness"": 1}"
"“I siapkan rumah untuk kita, you turn it into a home” Damn it, I will. I will make a home so warm you will never want to leave.",i siapkan rumah untuk kita you turn it into a home damn it i will i will make a home so warm you will never want to leave,i siapkan rumah untuk kita you turn it into a home damn it i will i will make a home so warm you will never want to leave,True,True,2,love,surprise,"{""love"": 2, ""surprise"": 1}"
hantavirus ? what if you hantagamba you je dekat i,hantavirus what if you hantagamba you je dekat i,hantavirus what if you hantagamba you je dekat i,True,True,2,neutral,,{}
"Happy Mother's Day untuk semua, yang menjadi mother figure, mothers who lost their child, wanting to be mothers, new mums, stay at home mums, working mums, single mums, grieving mums, mums to be, step mums, foster mums 💓",happy mother's day untuk semua yang menjadi mother figure mothers who lost their child wanting to be mothers new mums stay at home mums working mums single mums grieving mums mums to be step mums foster mums,happy mother's day untuk semua yang menjadi mother figure mothers who lost their child wanting to be mothers new mums stay at home mums working mums single mums grieving mums mums to be step mums foster mums,True,True,2,joy,love,"{""joy"": 2, ""love"": 1}"
Got mine for RM48 je! Berbaloi 😭 Sumpah cantik gila plus dgn low heels nya 😍😍,got mine for rm48 je berbaloi sumpah cantik gila plus dengan low heels nya,got mine for rm48 je berbaloi sumpah cantik gila plus dengan low heels nya,True,True,2,joy,,"{""joy"": 1}"
Eboni watch i dah sampaiiii. Almost 2 weeks juga beli direct website.,eboni watch i dah sampaii almost 2 weeks juga beli direct website,eboni watch i dah sampaii almost 2 weeks juga beli direct website,True,True,1,neutral,,{}
"date cancelled,dia tanak ikut i pergi kota temasek singapuraaaa ah show harini..",date cancelled dia tanak ikut i pergi kota temasek singapuraa ah show harini,date cancelled dia tanak ikut i pergi kota temasek singapuraa ah show harini,True,True,1,neutral,,{}
Waitt kenapa i baru discover kedai ni? Blouse semua lawa2 and yang penting harga mesra poket😭✨,waitt kenapa i baru discover kedai ni blouse semua lawa2 and yang penting harga mesra poket,waitt kenapa i baru discover kedai ni blouse semua lawa2 and yang penting harga mesra poket,True,True,4,neutral,,{}
